sub,task,pval
MSC01,motor,0.36563436563436563
MSC02,motor,0.002997002997002997
MSC03,motor,0.2647352647352647
MSC04,motor,0.5244755244755245
MSC05,motor,0.04795204795204795
MSC06,motor,0.016983016983016984
MSC07,motor,0.013986013986013986
MSC10,motor,0.4075924075924076
MSC01,mem,0.2917082917082917
MSC02,mem,0.4005994005994006
MSC03,mem,0.0959040959040959
MSC04,mem,0.37462537462537465
MSC05,mem,0.33966033966033965
MSC06,mem,0.44755244755244755
MSC07,mem,0.3016983016983017
MSC10,mem,0.3676323676323676
MSC01,mixed,0.061938061938061936
MSC02,mixed,0.053946053946053944
MSC03,mixed,0.003996003996003996
MSC04,mixed,0.11888111888111888
MSC05,mixed,0.0939060939060939
MSC06,mixed,0.008991008991008992
MSC07,mixed,0.01098901098901099
MSC10,mixed,0.030969030969030968
