train,acc,frames,analysis
MSC01,0.85,5,CV
MSC02,0.55,5,CV
MSC03,0.6666666666666666,5,CV
MSC04,0.65,5,CV
MSC05,0.7,5,CV
MSC06,0.7,5,CV
MSC07,0.75,5,CV
MSC10,0.5,5,CV
MSC01,0.9,10,CV
MSC02,1.0,10,CV
MSC03,0.6875,10,CV
MSC04,0.9,10,CV
MSC05,0.9,10,CV
MSC06,0.8,10,CV
MSC07,0.85,10,CV
MSC10,0.6,10,CV
MSC01,0.85,15,CV
MSC02,0.85,15,CV
MSC03,0.875,15,CV
MSC04,0.95,15,CV
MSC05,0.95,15,CV
MSC06,1.0,15,CV
MSC07,0.8,15,CV
MSC10,0.85,15,CV
MSC01,0.95,20,CV
MSC02,0.75,20,CV
MSC03,0.8958333333333333,20,CV
MSC04,0.9,20,CV
MSC05,1.0,20,CV
MSC06,1.0,20,CV
MSC07,0.9,20,CV
MSC10,0.9,20,CV
MSC01,1.0,25,CV
MSC02,0.85,25,CV
MSC03,1.0,25,CV
MSC04,0.95,25,CV
MSC05,1.0,25,CV
MSC06,1.0,25,CV
MSC07,0.85,25,CV
MSC10,0.9,25,CV
MSC01,1.0,30,CV
MSC02,0.95,30,CV
MSC03,0.9375,30,CV
MSC04,1.0,30,CV
MSC05,1.0,30,CV
MSC06,0.8,30,CV
MSC07,0.9,30,CV
MSC10,0.9,30,CV
MSC01,1.0,40,CV
MSC02,0.9,40,CV
MSC03,0.9375,40,CV
MSC04,0.95,40,CV
MSC05,1.0,40,CV
MSC06,0.95,40,CV
MSC07,1.0,40,CV
MSC10,0.9,40,CV
MSC01,1.0,50,CV
MSC02,0.9,50,CV
MSC03,0.875,50,CV
MSC04,1.0,50,CV
MSC05,1.0,50,CV
MSC06,0.95,50,CV
MSC07,0.8,50,CV
MSC10,0.95,50,CV
MSC01,1.0,60,CV
MSC02,1.0,60,CV
MSC03,1.0,60,CV
MSC04,1.0,60,CV
MSC05,1.0,60,CV
MSC06,0.95,60,CV
MSC07,0.95,60,CV
MSC10,0.9,60,CV
MSC01,1.0,70,CV
MSC02,1.0,70,CV
MSC03,0.875,70,CV
MSC04,1.0,70,CV
MSC05,1.0,70,CV
MSC06,0.95,70,CV
MSC07,0.9,70,CV
MSC10,0.9,70,CV
MSC01,1.0,80,CV
MSC02,0.95,80,CV
MSC03,1.0,80,CV
MSC04,1.0,80,CV
MSC05,1.0,80,CV
MSC06,0.95,80,CV
MSC07,0.95,80,CV
MSC10,0.9,80,CV
MSC01,1.0,90,CV
MSC02,1.0,90,CV
MSC03,0.9375,90,CV
MSC04,0.95,90,CV
MSC05,1.0,90,CV
MSC06,1.0,90,CV
MSC07,1.0,90,CV
MSC10,0.95,90,CV
MSC01,1.0,100,CV
MSC02,1.0,100,CV
MSC03,1.0,100,CV
MSC04,1.0,100,CV
MSC05,1.0,100,CV
MSC06,1.0,100,CV
MSC07,1.0,100,CV
MSC10,0.9444444444444444,100,CV
MSC01,1.0,125,CV
MSC02,1.0,125,CV
MSC03,1.0,125,CV
MSC04,1.0,125,CV
MSC05,1.0,125,CV
MSC06,1.0,125,CV
MSC07,0.95,125,CV
MSC10,0.9444444444444444,125,CV
MSC01,1.0,150,CV
MSC02,1.0,150,CV
MSC03,1.0,150,CV
MSC04,1.0,150,CV
MSC05,1.0,150,CV
MSC06,0.95,150,CV
MSC07,0.95,150,CV
MSC10,0.9375,150,CV
MSC01,1.0,175,CV
MSC02,0.95,175,CV
MSC03,1.0,175,CV
MSC04,1.0,175,CV
MSC05,1.0,175,CV
MSC06,1.0,175,CV
MSC07,1.0,175,CV
MSC10,0.8809523809523808,175,CV
MSC01,1.0,200,CV
MSC02,1.0,200,CV
MSC03,1.0,200,CV
MSC04,1.0,200,CV
MSC05,1.0,200,CV
MSC06,1.0,200,CV
MSC07,1.0,200,CV
MSC10,0.9285714285714286,200,CV
MSC01,1.0,225,CV
MSC02,1.0,225,CV
MSC03,1.0,225,CV
MSC04,1.0,225,CV
MSC05,1.0,225,CV
MSC06,1.0,225,CV
MSC07,1.0,225,CV
MSC10,0.9523809523809524,225,CV
MSC01,1.0,250,CV
MSC02,1.0,250,CV
MSC03,0.9166666666666666,250,CV
MSC04,1.0,250,CV
MSC05,1.0,250,CV
MSC06,0.9444444444444444,250,CV
MSC07,1.0,250,CV
MSC10,0.9523809523809524,250,CV
MSC01,1.0,275,CV
MSC02,1.0,275,CV
MSC03,0.9166666666666666,275,CV
MSC04,1.0,275,CV
MSC05,1.0,275,CV
MSC06,1.0,275,CV
MSC07,1.0,275,CV
MSC10,0.8666666666666666,275,CV
MSC01,0.9333333333333332,300,CV
MSC02,1.0,300,CV
MSC03,0.9166666666666666,300,CV
MSC04,1.0,300,CV
MSC05,1.0,300,CV
MSC06,1.0,300,CV
MSC07,1.0,300,CV
MSC10,0.8166666666666667,300,CV
MSC01,0.85,325,CV
MSC02,1.0,325,CV
MSC03,0.9166666666666666,325,CV
MSC04,1.0,325,CV
MSC05,1.0,325,CV
MSC06,1.0,325,CV
MSC07,1.0,325,CV
MSC10,9999.0,325,CV
MSC01,9999.0,350,CV
MSC02,0.7666666666666666,350,CV
MSC03,9999.0,350,CV
MSC04,0.8166666666666667,350,CV
MSC05,1.0,350,CV
MSC06,0.9166666666666666,350,CV
MSC07,0.7708333333333333,350,CV
MSC10,9999.0,350,CV
