Network,Acc,Features,z_score
unassign,0.6052083333333333,14808,-0.27174063559763006
default,0.6869642857142858,10824,0.29923109735907655
visual,0.6310119047619048,8736,-0.09153222916389683
fp,0.6658333333333333,4620,0.15165558574667606
dan,0.6375892857142856,5264,-0.04559675301412281
van,0.5938690476190475,3151,-0.3509325650685104
salience,0.6130357142857144,484,-0.21707534045106486
co,0.6426339285714286,4060,-0.01036569777707707
sm,0.5745833333333333,2375,-0.48562120101898093
sm-lat,0.567485119047619,316,-0.5351941017507521
auditory,0.5601785714285713,564,-0.5862219723153217
pmn,0.5382142857142858,45,-0.7396173632589133
pon,0.5266964285714285,21,-0.8200564097293346
