train_sub,test_sub,cv_acc,cv_sen,cv_spec,acc,ds_sen,ds_spec
MSC01,MSC02,0.825,0.775,0.875,0.5900000000000001,0.32500000000000007,0.8550000000000001
MSC01,MSC03,0.825,0.775,0.875,0.5499999999999999,0.37,0.7300000000000001
MSC01,MSC04,0.825,0.775,0.875,0.6950000000000001,0.445,0.945
MSC01,MSC05,0.825,0.775,0.875,0.5275000000000001,0.05500000000000001,1.0
MSC01,MSC06,0.825,0.775,0.875,0.5557142857142857,0.12142857142857144,0.99
MSC01,MSC07,0.825,0.775,0.875,0.6675,0.9199999999999999,0.4149999999999999
MSC01,MSC10,0.825,0.775,0.875,0.6875,0.5900000000000001,0.785
MSC02,MSC01,0.65,0.55,0.75,0.5725,1.0,0.145
MSC02,MSC03,0.65,0.55,0.75,0.42000000000000004,0.7499999999999999,0.09
MSC02,MSC04,0.65,0.55,0.75,0.625,0.8400000000000001,0.41
MSC02,MSC05,0.65,0.55,0.75,0.42000000000000004,0.615,0.225
MSC02,MSC06,0.65,0.55,0.75,0.6592857142857141,0.8171428571428573,0.5014285714285714
MSC02,MSC07,0.65,0.55,0.75,0.5050000000000001,1.0,0.01
MSC02,MSC10,0.65,0.55,0.75,0.5125,0.9199999999999999,0.10500000000000001
MSC03,MSC01,0.45,0.35,0.55,0.5,0.2,0.8
MSC03,MSC02,0.45,0.35,0.55,0.485,0.38,0.5900000000000001
MSC03,MSC04,0.45,0.35,0.55,0.475,0.24,0.7100000000000001
MSC03,MSC05,0.45,0.35,0.55,0.6224999999999999,0.475,0.7699999999999999
MSC03,MSC06,0.45,0.35,0.55,0.5228571428571429,0.45285714285714285,0.5928571428571427
MSC03,MSC07,0.45,0.35,0.55,0.44000000000000006,0.16999999999999998,0.71
MSC03,MSC10,0.45,0.35,0.55,0.45,0.23000000000000004,0.67
MSC04,MSC01,0.8875,0.9,0.875,0.69,1.0,0.38
MSC04,MSC02,0.8875,0.9,0.875,0.6825,0.65,0.7150000000000001
MSC04,MSC03,0.8875,0.9,0.875,0.5974999999999999,0.9,0.29500000000000004
MSC04,MSC05,0.8875,0.9,0.875,0.6775,0.7150000000000001,0.64
MSC04,MSC06,0.8875,0.9,0.875,0.8564285714285713,0.8285714285714285,0.8842857142857143
MSC04,MSC07,0.8875,0.9,0.875,0.5425,1.0,0.08499999999999999
MSC04,MSC10,0.8875,0.9,0.875,0.6449999999999999,0.9949999999999999,0.29500000000000004
MSC05,MSC01,0.9625,1.0,0.925,0.7125,0.8049999999999999,0.62
MSC05,MSC02,0.9625,1.0,0.925,0.5825,0.8800000000000001,0.285
MSC05,MSC03,0.9625,1.0,0.925,0.8075000000000001,0.8950000000000001,0.72
MSC05,MSC04,0.9625,1.0,0.925,0.71,0.665,0.755
MSC05,MSC06,0.9625,1.0,0.925,0.7567857142857143,0.845,0.6685714285714285
MSC05,MSC07,0.9625,1.0,0.925,0.6625,0.76,0.565
MSC05,MSC10,0.9625,1.0,0.925,0.7,0.7950000000000002,0.605
MSC06,MSC01,0.7071428571428571,0.6428571428571429,0.7714285714285715,0.5,1.0,0.0
MSC06,MSC02,0.7071428571428571,0.6428571428571429,0.7714285714285715,0.5,1.0,0.0
MSC06,MSC03,0.7071428571428571,0.6428571428571429,0.7714285714285715,0.49749999999999994,0.9949999999999999,0.0
MSC06,MSC04,0.7071428571428571,0.6428571428571429,0.7714285714285715,0.5050000000000001,1.0,0.01
MSC06,MSC05,0.7071428571428571,0.6428571428571429,0.7714285714285715,0.5,1.0,0.0
MSC06,MSC07,0.7071428571428571,0.6428571428571429,0.7714285714285715,0.5,1.0,0.0
MSC06,MSC10,0.7071428571428571,0.6428571428571429,0.7714285714285715,0.5,1.0,0.0
MSC07,MSC01,0.4,0.4,0.4,0.5,0.4,0.6
MSC07,MSC02,0.4,0.4,0.4,0.5075000000000001,0.4149999999999999,0.6
MSC07,MSC03,0.4,0.4,0.4,0.5050000000000001,0.4,0.61
MSC07,MSC04,0.4,0.4,0.4,0.5,0.4,0.6
MSC07,MSC05,0.4,0.4,0.4,0.5,0.4,0.6
MSC07,MSC06,0.4,0.4,0.4,0.5025000000000001,0.4,0.605
MSC07,MSC10,0.4,0.4,0.4,0.505,0.4,0.61
MSC10,MSC01,0.6625,0.95,0.375,0.5650000000000001,0.9349999999999999,0.195
MSC10,MSC02,0.6625,0.95,0.375,0.525,0.9199999999999999,0.13000000000000003
MSC10,MSC03,0.6625,0.95,0.375,0.5449999999999999,0.9550000000000001,0.135
MSC10,MSC04,0.6625,0.95,0.375,0.54,0.9850000000000001,0.095
MSC10,MSC05,0.6625,0.95,0.375,0.555,0.985,0.125
MSC10,MSC06,0.6625,0.95,0.375,0.585,0.9392857142857143,0.2307142857142857
MSC10,MSC07,0.6625,0.95,0.375,0.5075000000000001,0.5549999999999999,0.4600000000000001
